Function name;Count;Files name
check;118;['12planet_chat_server_xss.nasl', 'abyss_msdos_dos.nasl', 'admentor_login_flaw.nasl', 'advanced_guestbook.nasl', 'aenovo_db_disclosure.nasl', 'alchemy_eye_http.nasl', 'articlelive_xss.nasl', 'aspdev_imgtag.nasl', 'aspjar_sql_injection.nasl', 'asp_inline_sql_injection.nasl', 'asp_source_space.nasl', 'avengers_news_system_command_execution.nasl', 'awstats_input_vuln.nasl', 'b2evolution_net_sql_injection.nasl', 'backoffice_lite_bypass.nasl', 'BEA_weblogic_Reveal_Script_Code.nasl', 'bookreview_xss.nasl', 'breakcal_xss.nasl', 'bugport_attachment_handling_flaw.nasl', 'calendarix_sql.nasl', 'calendar_express_flaws.nasl', 'calendar_scheduler_xss.nasl', 'cart32_xss.nasl', 'cern_httpd_access_ctrl.nasl', 'citrix_web_xss.nasl', 'citrusdb_cc_disclosure.nasl', 'codethatshoppingcart_sql.nasl', 'comersus_xss.nasl', 'cyberstrong_eshop_sql.nasl', 'DDI_IIS_Compromised.nasl', 'deltaups_detect.nasl', 'deluxeBB_sql_injection.nasl', 'desknow_multiple_vuln.nasl', 'devoyBB_flaws.nasl', 'digital_scribe_login_sql_inject.nasl', 'discuz_arbitrary_file_upload_flaw.nasl', 'dotnetnuke_xss.nasl', 'dream4_koobi_cms_sql.nasl', 'dwhttp_format_string.nasl', 'episodex_guestbook.nasl', 'eshop_information_disclosure.nasl', 'faq_o_matic_xss.nasl', 'fishcart_sql_injection.nasl', 'fusetalk_forum_xss.nasl', 'fusion_sbx_bypass.nasl', 'gnutella_detect.nasl', 'goollery_xss.nasl', 'greymatter_html_inject.nasl', 'groupwise_web_interface_help_hole.nasl', 'groupwise_web_interface_htmlver_hole.nasl', 'ibproarcade_sql_injection.nasl', 'idealbb_multiple_flaws.nasl', 'iis_decode_bug.nasl', 'iis_dir_traversal.nasl', 'iis_webdav_lock_memory_leak.nasl', 'inserter_file_inclusion.nasl', 'jgsportal_sql.nasl', 'jshop_xss.nasl', 'kayako_sql_injection.nasl', 'last10_sql_injection.nasl', 'mercuryboard_multiple_vuln.nasl', 'metacart_sql.nasl', 'mod_access_referer.nasl', 'mssqlserver_detect.nasl', 'mvnforum_search_xss.nasl', 'mybloggie_sql_injection.nasl', 'nbmember_info_disclosure.nasl', 'netref_cat_for_gen.nasl', 'no404.nasl', 'novell_netbasic_directory_traversal.nasl', 'nqt_xss.nasl', 'Omnihttpd_pro_source_disclosure.nasl', 'oracle9iAS_slashdot_DoS.nasl', 'perlIS_dll_bufferoverflow.nasl', 'phpadsnew_xss.nasl', 'phpbugtracker_bug_sql.nasl', 'phpmychat_information_disclosure.nasl', 'phprocketaddin_traversal.nasl', 'phproxy_xss.nasl', 'phptonuke_dir_trav.nasl', 'phpweblog_xss.nasl', 'powerportal_path_disclosure.nasl', 'powerup_information_disclosure.nasl', 'psychostats_xss.nasl', 'qwikiwiki_file_inclusion.nasl', 'reviewpost_sql.nasl', 'rich_media_ecommerce_stores_sensitive_information_insecurely.nasl', 'RM_safetynet_xss.nasl', 'sgallery_sql_injection.nasl', 'sglmerchant_information_disclosure.nasl', 'shopping_cart_information_disclosure.nasl', 'skullsplitter_html_injection.nasl', 'snitz_down_http_xss.nasl', 'sparkleblog_sql_injection.nasl', 'sphpblog_dir_traversal.nasl', 'story.nasl', 'sun_cobalt_adaptive_firewall_detect.nasl', 'sympa_do_search_list_overflow.nasl', 'sympa_invalid_ldap_pass.nasl', 'sympa_queue_utility_priv_escalation.nasl', 'sympa_unauthorised_list_creation.nasl', 'tikiwiki_multiple_input_flaws.nasl', 'tikiwiki_remote_flaws.nasl', 'tikiwiki_xss.nasl', 'tmosdos.nasl', 'tomcat_source_exposure.nasl', 'towerblog_admin_bypass.nasl', 'turboseek_read_file.nasl', 'uebimiau_session_disclosure.nasl', 'verity_ultraseek_xss.nasl', 'viewcvs_xss.nasl', 'wackowiki_xss.nasl', 'weblibs_file_inclusion.nasl', 'winmail_mail_server_information_disclosure.nasl', 'wowBB_flaws.nasl', 'wowBB_sql_injection.nasl', 'yusasp_asset_manager_detection.nasl', 'zml_cgi_traversal.nasl']
vulnerable;1;['snmp_hpJetDirectEWS.nasl']
oracle_tnslsnr_security;1;['oracle_tnslsnr_security.nasl']
doGetPortFromIP;1;['moonlit_virus.nasl']
iisecheck;1;['DDI_IIS_Compromised.nasl']
kpf_isWeakAdminProtocol;1;['kerio_firewall_admin_port.nasl']
ventrilo_udp_head_dec;1;['ventrilo_detect.nasl']
RemoteConnect;1;['remote-MS04-011.nasl']
find_err_msg;1;['no404.nasl']
ping;2;['nisd_overflow.nasl', 'sgi_rpc_passwd.nasl']
