Function name;Count;Files name
string;144;['dump.inc', 'dump.inc', 'dump.inc', 'ftp_func.inc', 'global_settings.inc', 'global_settings.inc', 'http_keepalive.inc', 'imap_func.inc', 'misc_func.inc', 'misc_func.inc', 'misc_func.inc', 'misc_func.inc', 'misc_func.inc', 'misc_func.inc', 'misc_func.inc', 'misc_func.inc', 'misc_func.inc', 'misc_func.inc', 'misc_func.inc', 'misc_func.inc', 'misc_func.inc', 'misc_func.inc', 'nntp_func.inc', 'nntp_func.inc', 'nntp_func.inc', 'nntp_func.inc', 'nntp_func.inc', 'nntp_func.inc', 'nntp_func.inc', 'openvas-https.inc', 'pkg-lib-bsd.inc', 'pkg-lib-deb.inc', 'pkg-lib-rpm.inc', 'pkg-lib-rpm.inc', 'pop3_func.inc', 'secpod_smb_func.inc', 'secpod_smb_func.inc', 'secpod_smb_func.inc', 'secpod_smb_func.inc', 'secpod_smb_func.inc', 'secpod_smb_func.inc', 'sip.inc', 'slad.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smtp_func.inc', 'smtp_func.inc', 'smtp_func.inc', 'smtp_func.inc', 'smtp_func.inc', 'smtp_func.inc', 'smtp_func.inc', 'smtp_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'telnet_func.inc', 'telnet_func.inc', 'toolcheck.inc', 'toolcheck.inc', 'uddi.inc', 'uddi.inc', 'uddi.inc', 'uddi.inc', 'uddi.inc', 'uddi.inc', 'uddi.inc', 'uddi.inc', 'uddi.inc', 'uddi.inc', 'uddi.inc', 'uddi.inc', 'uddi.inc', 'uddi.inc', 'uddi.inc', 'uddi.inc', 'uddi.inc', 'uddi.inc', 'version_func.inc', 'version_func.inc', 'version_func.inc', 'version_func.inc']
ssh_rsa_verify;1;['ssh_func.inc']
http_recv_body;4;['http_func.inc', 'http_func.inc', 'http_func.inc', 'http_keepalive.inc']
unicode2;2;['smb_nt.inc', 'smb_nt.inc']
crypt;1;['ssh_func.inc']
smb_neg_prot_sm;1;['smb_nt.inc']
check_pattern;10;['ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc']
nntp_connect;1;['nntp_func.inc']
forge_ip_packet;4;['network_func.inc', 'tftp.inc', 'tftp.inc', 'tftp.inc']
registry_flush_NTLMSSP;1;['smb_nt.inc']
